init_angle,init_speed,X,Y,time
,,378.3021279,237.7897279,5.35
,,379.0092347,237.9715547,5.36
,,379.7163415,238.1524015,5.37
,,380.4234483,238.3322683,5.38
,,381.1305551,238.5111551,5.39
,,381.8376618,238.6890618,5.4
,,382.5447686,238.8659886,5.41
,,383.2518754,239.0419354,5.42
,,383.9589822,239.2169022,5.43
,,384.666089,239.390889,5.44
,,385.3731957,239.5638957,5.45
,,386.0803025,239.7359225,5.46
,,386.7874093,239.9069693,5.47
,,387.4945161,240.0770361,5.48
,,388.2016229,240.2461229,5.49
,,388.9087297,240.4142297,5.5
,,389.6158364,240.5813564,5.51
,,390.3229432,240.7475032,5.52
,,391.03005,240.91267,5.53
,,391.7371568,241.0768568,5.54
,,392.4442636,241.2400636,5.55
,,393.1513703,241.4022903,5.56
,,393.8584771,241.5635371,5.57
,,394.5655839,241.7238039,5.58
,,395.2726907,241.8830907,5.59
,,395.9797975,242.0413975,5.6
,,396.6869042,242.1987242,5.61
,,397.394011,242.355071,5.62
,,398.1011178,242.5104378,5.63
,,398.8082246,242.6648246,5.64
,,399.5153314,242.8182314,5.65
,,400.2224382,242.9706582,5.66
,,400.9295449,243.1221049,5.67
,,401.6366517,243.2725717,5.68
,,402.3437585,243.4220585,5.69
,,403.0508653,243.5705653,5.7
,,403.7579721,243.7180921,5.71
,,404.4650788,243.8646388,5.72
,,405.1721856,244.0102056,5.73
,,405.8792924,244.1547924,5.74
,,406.5863992,244.2983992,5.75
,,407.293506,244.441026,5.76
,,408.0006127,244.5826727,5.77
,,408.7077195,244.7233395,5.78
,,409.4148263,244.8630263,5.79
,,410.1219331,245.0017331,5.8
,,410.8290399,245.1394599,5.81
,,411.5361467,245.2762067,5.82
,,412.2432534,245.4119734,5.83
,,412.9503602,245.5467602,5.84
,,413.657467,245.680567,5.85
,,414.3645738,245.8133938,5.86
,,415.0716806,245.9452406,5.87
,,415.7787873,246.0761073,5.88
,,416.4858941,246.2059941,5.89
,,417.1930009,246.3349009,5.9
,,417.9001077,246.4628277,5.91
,,418.6072145,246.5897745,5.92
,,419.3143212,246.7157412,5.93
,,420.021428,246.840728,5.94
,,420.7285348,246.9647348,5.95
,,421.4356416,247.0877616,5.96
,,422.1427484,247.2098084,5.97
,,422.8498551,247.3308751,5.98
,,423.5569619,247.4509619,5.99
,,424.2640687,247.5700687,6
,,424.9711755,247.6881955,6.01
,,425.6782823,247.8053423,6.02
,,426.3853891,247.9215091,6.03
,,427.0924958,248.0366958,6.04
,,427.7996026,248.1509026,6.05
,,428.5067094,248.2641294,6.06
,,429.2138162,248.3763762,6.07
,,429.920923,248.487643,6.08
,,430.6280297,248.5979297,6.09
,,431.3351365,248.7072365,6.1
,,432.0422433,248.8155633,6.11
,,432.7493501,248.9229101,6.12
,,433.4564569,249.0292769,6.13
,,434.1635636,249.1346636,6.14
,,434.8706704,249.2390704,6.15
,,435.5777772,249.3424972,6.16
,,436.284884,249.444944,6.17
,,436.9919908,249.5464108,6.18
,,437.6990976,249.6468976,6.19
,,438.4062043,249.7464043,6.2
,,439.1133111,249.8449311,6.21
,,439.8204179,249.9424779,6.22
,,440.5275247,250.0390447,6.23
,,441.2346315,250.1346315,6.24
,,441.9417382,250.2292382,6.25
,,442.648845,250.322865,6.26
,,443.3559518,250.4155118,6.27
,,444.0630586,250.5071786,6.28
,,444.7701654,250.5978654,6.29
,,445.4772721,250.6875721,6.3
,,446.1843789,250.7762989,6.31
,,446.8914857,250.8640457,6.32
,,447.5985925,250.9508125,6.33
,,448.3056993,251.0365993,6.34
,,449.0128061,251.1214061,6.35
,,449.7199128,251.2052328,6.36
,,450.4270196,251.2880796,6.37
,,451.1341264,251.3699464,6.38
,,451.8412332,251.4508332,6.39
,,452.54834,251.53074,6.4
,,453.2554467,251.6096667,6.41
,,453.9625535,251.6876135,6.42
,,454.6696603,251.7645803,6.43
,,455.3767671,251.8405671,6.44
,,456.0838739,251.9155739,6.45
,,456.7909806,251.9896006,6.46
,,457.4980874,252.0626474,6.47
,,458.2051942,252.1347142,6.48
,,458.912301,252.205801,6.49
,,459.6194078,252.2759078,6.5
,,460.3265146,252.3450346,6.51
,,461.0336213,252.4131813,6.52
,,461.7407281,252.4803481,6.53
,,462.4478349,252.5465349,6.54
,,463.1549417,252.6117417,6.55
,,463.8620485,252.6759685,6.56
,,464.5691552,252.7392152,6.57
,,465.276262,252.801482,6.58
,,465.9833688,252.8627688,6.59
,,466.6904756,252.9230756,6.6
,,467.3975824,252.9824024,6.61
,,468.1046891,253.0407491,6.62
,,468.8117959,253.0981159,6.63
,,469.5189027,253.1545027,6.64
,,470.2260095,253.2099095,6.65
,,470.9331163,253.2643363,6.66
,,471.6402231,253.3177831,6.67
,,472.3473298,253.3702498,6.68
,,473.0544366,253.4217366,6.69
,,473.7615434,253.4722434,6.7
,,474.4686502,253.5217702,6.71
,,475.175757,253.570317,6.72
,,475.8828637,253.6178837,6.73
,,476.5899705,253.6644705,6.74
,,477.2970773,253.7100773,6.75
,,478.0041841,253.7547041,6.76
,,478.7112909,253.7983509,6.77
,,479.4183976,253.8410176,6.78
,,480.1255044,253.8827044,6.79
,,480.8326112,253.9234112,6.8
,,481.539718,253.963138,6.81
,,482.2468248,254.0018848,6.82
,,482.9539316,254.0396516,6.83
,,483.6610383,254.0764383,6.84
,,484.3681451,254.1122451,6.85
,,485.0752519,254.1470719,6.86
,,485.7823587,254.1809187,6.87
,,486.4894655,254.2137855,6.88
,,487.1965722,254.2456722,6.89
,,487.903679,254.276579,6.9
,,488.6107858,254.3065058,6.91
,,489.3178926,254.3354526,6.92
,,490.0249994,254.3634194,6.93
,,490.7321061,254.3904061,6.94
,,491.4392129,254.4164129,6.95
,,492.1463197,254.4414397,6.96
,,492.8534265,254.4654865,6.97
,,493.5605333,254.4885533,6.98
,,494.26764,254.51064,6.99
,,494.9747468,254.5317468,7
,,495.6818536,254.5518736,7.01
,,496.3889604,254.5710204,7.02
,,497.0960672,254.5891872,7.03
,,497.803174,254.606374,7.04
,,498.5102807,254.6225807,7.05
,,499.2173875,254.6378075,7.06
,,499.9244943,254.6520543,7.07
,,500.6316011,254.6653211,7.08
,,501.3387079,254.6776079,7.09
,,502.0458146,254.6889146,7.1
,,502.7529214,254.6992414,7.11
,,503.4600282,254.7085882,7.12
,,504.167135,254.716955,7.13
,,504.8742418,254.7243418,7.14
,,505.5813485,254.7307485,7.15
,,506.2884553,254.7361753,7.16
,,506.9955621,254.7406221,7.17
,,507.7026689,254.7440889,7.18
,,508.4097757,254.7465757,7.19
,,509.1168825,254.7480825,7.2
,,509.8239892,254.7486092,7.21
,,510.531096,254.748156,7.22
,,511.2382028,254.7467228,7.23
,,511.9453096,254.7443096,7.24
,,512.6524164,254.7409164,7.25
,,513.3595231,254.7365431,7.26
,,514.0666299,254.7311899,7.27
,,514.7737367,254.7248567,7.28
,,515.4808435,254.7175435,7.29
,,516.1879503,254.7092503,7.3
,,516.895057,254.699977,7.31
,,517.6021638,254.6897238,7.32
,,518.3092706,254.6784906,7.33
,,519.0163774,254.6662774,7.34
,,519.7234842,254.6530842,7.35
,,520.430591,254.638911,7.36
,,521.1376977,254.6237577,7.37
